,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaanaaq,77.484,-69.3632,-4.92,55,64,10.29,GL,1617619305
1,carnarvon,-24.8667,113.6333,82.4,78,13,13.8,AU,1617619305
2,tasiilaq,65.6145,-37.6368,17.6,86,90,3.44,GL,1617619305
3,thompson,55.7435,-97.8558,37.4,52,90,4.61,CA,1617619305
4,busselton,-33.65,115.3333,66.31,81,0,3.71,AU,1617619403
5,rikitea,-23.1203,-134.9692,77.67,67,1,17.36,PF,1617619054
6,bangsund,64.3968,11.3949,37.0,89,100,24.0,NO,1617619350
7,baykit,61.67,96.37,35.67,97,100,3.24,RU,1617619306
8,paka,4.6374,103.4368,86.0,79,40,6.91,MY,1617619030
9,kapaa,22.0752,-159.319,73.4,68,40,19.57,US,1617619404
10,new norfolk,-42.7826,147.0587,57.99,77,0,2.86,AU,1617619404
11,labuhan,-6.8844,112.2051,81.55,80,85,8.46,ID,1617619405
12,east bethel,45.3194,-93.2025,53.6,43,1,5.75,US,1617619307
13,camacha,33.0833,-16.3333,66.2,59,20,5.75,PT,1617619308
14,yellowknife,62.456,-114.3525,6.01,78,20,10.36,CA,1617618968
15,maine-soroa,13.2114,12.0241,98.55,7,22,15.1,NE,1617619308
16,tiksi,71.6872,128.8694,-16.42,100,29,2.1,RU,1617618897
17,siklos,45.855,18.2975,50.0,40,0,10.36,HU,1617619309
18,nemuro,43.3236,145.575,32.4,70,1,15.9,JP,1617619309
19,ushuaia,-54.8,-68.3,39.2,81,75,20.71,AR,1617618703
20,atuona,-9.8,-139.0333,79.75,82,72,9.33,PF,1617619094
21,nantucket,41.2835,-70.0995,39.99,74,100,20.38,US,1617619309
22,port alfred,-33.5906,26.891,66.79,87,100,12.86,ZA,1617618897
23,puerto ayora,-0.7393,-90.3518,73.99,94,57,1.01,EC,1617618919
24,albany,42.6001,-73.9662,41.0,65,2,11.88,US,1617618840
25,tuktoyaktuk,69.4541,-133.0374,1.78,94,100,21.83,CA,1617618896
26,bukachacha,52.9833,116.9167,24.35,59,80,9.08,RU,1617619310
27,hermanus,-34.4187,19.2345,64.99,90,100,4.0,ZA,1617618899
28,bethel,41.3712,-73.414,42.8,52,1,3.44,US,1617618903
29,uribia,11.7139,-72.266,77.52,76,100,10.4,CO,1617619311
30,chuy,-33.6971,-53.4616,68.81,85,1,10.38,UY,1617619086
31,mar del plata,-38.0023,-57.5575,68.0,100,90,3.83,AR,1617618815
32,la ronge,55.1001,-105.2842,33.8,86,100,9.22,CA,1617619084
33,tulagi,-9.0996,160.1476,83.55,72,68,3.22,SB,1617619311
34,codrington,-38.2667,141.9667,59.47,68,87,9.26,AU,1617618917
35,saldanha,-33.0117,17.9442,73.4,60,25,13.8,ZA,1617619109
36,locri,38.2414,16.2623,59.0,63,90,8.05,IT,1617619312
37,fort nelson,58.8053,-122.7002,35.6,48,75,5.75,CA,1617619312
38,humaita,-7.5061,-63.0208,72.84,93,100,2.06,BR,1617619313
39,nobres,-14.7203,-56.3275,75.13,84,96,2.8,BR,1617619313
40,cidreira,-30.1811,-50.2056,72.36,77,0,13.71,BR,1617618894
41,hithadhoo,-0.6,73.0833,83.98,75,26,15.86,MV,1617619069
42,izumo,35.3667,132.7667,51.8,54,20,18.41,JP,1617619314
43,punta arenas,-53.15,-70.9167,35.6,87,0,9.22,CL,1617618650
44,parana,-31.732,-60.5238,68.0,95,80,6.89,AR,1617619314
45,bluff,-46.6,168.3333,54.0,67,69,5.99,NZ,1617618905
46,vaini,-21.2,-175.2,66.2,100,20,1.14,TO,1617618900
47,pozo colorado,-23.4923,-58.7972,70.5,93,100,5.1,PY,1617619315
48,kaitangata,-46.2817,169.8464,52.0,69,66,4.0,NZ,1617619120
49,lichuan,30.3,108.85,49.35,89,100,2.68,CN,1617619315
50,korla,41.7597,86.1469,61.75,11,83,10.65,CN,1617618895
51,sanchez,19.2281,-69.6137,71.24,92,84,3.49,DO,1617619316
52,bereznik,62.8551,42.7072,39.43,84,100,10.98,RU,1617619316
53,cape town,-33.9258,18.4232,69.8,68,20,21.85,ZA,1617618903
54,manakara,-22.1333,48.0167,82.2,68,17,10.22,MG,1617619316
55,nanortalik,60.1432,-45.2371,37.67,80,100,4.7,GL,1617619113
56,namibe,-15.1961,12.1522,89.6,55,0,23.02,AO,1617619092
57,sao joao da barra,-21.6403,-41.0511,73.4,88,0,4.61,BR,1617619102
58,kaiyuan,23.6977,103.3037,57.54,90,100,0.11,CN,1617619317
59,hobart,-42.8794,147.3294,57.99,77,0,2.51,AU,1617618638
60,port elizabeth,-33.918,25.5701,68.0,77,90,9.22,ZA,1617619103
61,kharp,66.8014,65.8081,31.24,89,40,4.05,RU,1617619318
62,bambous virieux,-20.3428,57.7575,87.8,66,40,16.11,MU,1617619075
63,tixkokob,21.0,-89.4,68.0,77,1,5.75,MX,1617619318
64,barrow,71.2906,-156.7887,-5.8,77,90,5.75,US,1617618922
65,ponta do sol,32.6667,-17.1,62.01,61,100,7.0,PT,1617619071
66,fallon,39.4735,-118.7774,52.0,34,1,8.05,US,1617619319
67,ribeira grande,38.5167,-28.7,62.6,82,20,16.11,PT,1617619319
68,katangli,51.7102,143.2326,20.95,81,2,7.72,RU,1617619319
69,kloulklubed,7.0419,134.2556,83.68,74,99,8.39,PW,1617618910
70,chokurdakh,70.6333,147.9167,-26.61,97,11,2.55,RU,1617619095
71,kruisfontein,-34.0033,24.7314,61.41,90,100,11.25,ZA,1617619104
72,loreto,22.2667,-101.9667,52.65,57,100,4.18,MX,1617619320
73,hoquiam,46.9809,-123.8893,34.0,93,1,2.21,US,1617619320
74,broome,42.2506,-75.833,35.6,75,1,6.91,US,1617619321
75,baruun-urt,46.6806,113.2792,46.06,30,71,8.34,MN,1617619321
76,alihe,50.5667,123.7167,35.2,47,60,5.97,CN,1617619321
77,mataura,-46.1927,168.8643,54.0,67,54,5.99,NZ,1617619132
78,flin flon,54.7682,-101.865,32.4,98,100,5.19,CA,1617619322
79,chitungwiza,-18.0127,31.0756,80.01,37,0,4.0,ZW,1617619322
80,maniwaki,46.3834,-75.966,32.0,86,56,6.91,CA,1617619259
81,dikson,73.5069,80.5464,14.92,88,99,4.85,RU,1617618913
82,santarem,-2.4431,-54.7083,78.8,89,75,10.36,BR,1617619323
83,provideniya,64.3833,-173.3,-0.9,93,98,5.12,RU,1617618917
84,leningradskiy,69.3833,178.4167,-5.69,98,98,3.22,RU,1617619323
85,vila velha,-20.3297,-40.2925,73.99,94,40,3.44,BR,1617619081
86,cherskiy,68.75,161.3,-17.37,100,30,6.24,RU,1617618901
87,victoria,22.2855,114.1577,73.0,80,87,4.0,HK,1617618756
88,methoni,36.8197,21.7049,68.0,64,75,2.55,GR,1617619324
89,virginia beach,36.8529,-75.978,53.01,58,0,12.33,US,1617619324
90,marrakesh,31.6315,-8.0083,66.2,59,0,4.61,MA,1617619174
91,oistins,13.0667,-59.5333,78.8,65,40,14.97,BB,1617619322
92,norman wells,65.282,-126.8329,23.0,63,75,4.61,CA,1617618904
93,kodiak,57.79,-152.4072,32.0,51,1,17.27,US,1617618918
94,saint george,37.1041,-113.5841,59.0,21,1,3.44,US,1617618723
95,bathsheba,13.2167,-59.5167,78.8,65,40,14.97,BB,1617619124
96,half moon bay,37.4636,-122.4286,51.01,76,90,12.66,US,1617619039
97,lebu,-37.6167,-73.65,56.55,81,100,15.68,CL,1617618924
98,westport,41.1415,-73.3579,45.0,57,1,5.75,US,1617619121
99,zhaoyang,42.682,126.0305,55.35,25,93,12.3,CN,1617619326
100,grand gaube,-20.0064,57.6608,84.99,70,13,8.01,MU,1617619088
101,maceio,-9.6658,-35.7353,77.0,94,20,3.44,BR,1617618835
102,solhan,38.9634,41.0293,55.4,47,75,12.66,TR,1617619326
103,bandraboua,-12.7044,45.1223,82.4,78,95,3.44,YT,1617619327
104,salalah,17.0151,54.0924,91.4,55,0,11.5,OM,1617619327
105,bengkulu,-3.8004,102.2655,79.99,81,94,9.35,ID,1617618841
106,hilo,19.7297,-155.09,69.8,88,90,4.61,US,1617618614
107,vestmannaeyjar,63.4427,-20.2734,21.2,49,0,27.63,IS,1617618919
108,juneau,58.3019,-134.4197,39.2,81,90,11.5,US,1617619328
109,raudeberg,61.9875,5.1352,35.01,90,91,39.44,NO,1617619328
110,katsuura,35.1333,140.3,54.0,71,75,13.8,JP,1617619100
111,pavlodar,52.3,76.95,55.4,50,75,20.13,KZ,1617619328
112,taldan,53.6667,124.8,27.59,69,97,10.36,RU,1617619329
113,vanavara,60.34,102.2797,26.67,94,100,6.49,RU,1617619329
114,jamestown,42.097,-79.2353,33.8,80,1,6.91,US,1617618877
115,meulaboh,4.1363,96.1285,82.36,72,98,3.78,ID,1617619094
116,broken hill,-31.95,141.4333,77.0,31,0,10.36,AU,1617619097
117,tessalit,20.1986,1.0114,96.85,3,63,12.93,ML,1617619330
118,acari,-15.4311,-74.6158,71.58,88,83,0.98,PE,1617619330
119,klaksvik,62.2266,-6.589,28.4,69,75,37.98,FO,1617619126
120,santa cruz,-17.8,-63.1667,71.6,88,40,10.36,BO,1617619210
121,longyearbyen,78.2186,15.6401,19.4,68,75,27.63,SJ,1617618926
122,batagay-alyta,67.8006,130.4114,-17.91,98,88,3.76,RU,1617619120
123,port hardy,50.6996,-127.4199,42.8,87,75,8.05,CA,1617619331
124,grindavik,63.8424,-22.4338,21.2,58,75,11.5,IS,1617619087
125,torbay,47.6666,-52.7314,39.0,100,90,11.5,CA,1617618928
126,felipe carrillo puerto,19.5833,-88.05,61.75,86,3,3.36,MX,1617619331
127,beringovskiy,63.05,179.3167,6.57,95,100,8.66,RU,1617618900
128,wilmington,34.2257,-77.9447,52.0,71,1,8.05,US,1617619170
129,airai,-8.9266,125.4092,60.35,90,100,3.29,TL,1617619332
130,las vegas,36.175,-115.1372,75.2,12,1,2.06,US,1617619271
131,rincon,32.296,-81.2354,50.0,81,1,4.54,US,1617619332
132,miraflores,19.2167,-98.8083,46.4,61,90,5.75,MX,1617619333
133,emba,48.8264,58.1442,36.97,91,100,0.36,KZ,1617619333
134,kavieng,-2.5744,150.7967,81.5,75,99,4.18,PG,1617619333
135,bredasdorp,-34.5322,20.0403,64.4,94,100,10.36,ZA,1617619089
136,khani,41.9563,42.9566,69.8,37,90,9.22,GE,1617619334
137,severo-kurilsk,50.6789,156.125,26.8,82,94,11.54,RU,1617619095
138,nobeoka,32.5833,131.6667,53.2,64,0,13.71,JP,1617619334
139,viedma,-40.8135,-62.9967,67.15,58,0,11.56,AR,1617619335
140,castro,-24.7911,-50.0119,58.23,92,100,7.45,BR,1617618901
141,san cristobal,7.7669,-72.225,67.33,83,100,3.09,VE,1617619335
142,butaritari,3.0707,172.7902,82.04,80,48,13.06,KI,1617618894
143,guder,8.9667,37.7667,85.41,19,90,8.3,ET,1617619336
144,chernyshevskiy,63.0128,112.4714,-0.42,93,100,2.89,RU,1617619336
145,kirkwood,38.5834,-90.4068,57.0,59,19,5.82,US,1617619421
146,nikolskoye,59.7035,30.7861,41.0,65,90,17.9,RU,1617618925
147,upernavik,72.7868,-56.1549,-9.62,84,100,9.91,GL,1617619098
148,makakilo city,21.3469,-158.0858,71.6,68,1,9.22,US,1617619422
149,mahebourg,-20.4081,57.7,87.8,66,40,16.11,MU,1617619132
150,ternate,0.8,127.4,82.72,74,80,11.79,ID,1617619422
151,fairhope,30.523,-87.9033,48.99,100,1,2.86,US,1617619422
152,talnakh,69.4865,88.3972,21.11,95,100,12.03,RU,1617618792
153,kasongo-lunda,-6.4667,16.8167,84.45,57,100,4.07,CD,1617619423
154,vostok,46.4856,135.8833,31.73,77,83,6.87,RU,1617619084
155,lingao,19.9103,109.6859,77.85,76,56,16.02,CN,1617619423
156,eyemouth,55.8713,-2.0901,37.99,53,77,11.99,GB,1617619096
157,lompoc,34.6391,-120.4579,48.2,93,73,11.32,US,1617618908
158,atar,20.5169,-13.0499,89.31,11,3,14.07,MR,1617619424
159,lebaksiu,-7.0496,109.1441,76.78,90,96,3.06,ID,1617619424
160,georgetown,5.4112,100.3354,89.6,62,20,5.75,MY,1617618614
161,chumphon,10.3333,98.8333,80.6,89,40,3.44,TH,1617619425
162,tokmak,47.2514,35.7058,47.3,59,100,4.72,UA,1617619425
163,agadez,19.75,10.25,89.53,5,0,3.36,NE,1617619426
164,sarwar,26.0667,75.0,102.54,8,20,17.34,IN,1617619426
165,san quintin,30.4833,-115.95,58.35,87,7,15.52,MX,1617619426
166,panvel,18.9833,73.1,89.6,55,0,13.8,IN,1617619427
167,rorvik,64.8621,11.2373,37.29,55,99,33.46,NO,1617619427
168,touros,-5.1989,-35.4608,77.0,88,40,4.61,BR,1617619427
169,orapa,-21.2833,25.3667,89.28,25,0,2.91,BW,1617619427
170,valparaiso,-33.0393,-71.6273,59.0,82,40,3.44,CL,1617619428
171,avarua,-21.2078,-159.775,80.6,94,75,13.8,CK,1617618904
172,tazovskiy,67.4667,78.7,32.72,99,100,7.54,RU,1617619428
173,sao jose da coroa grande,-8.8978,-35.1478,81.57,72,19,11.1,BR,1617619429
174,tabou,4.423,-7.3528,82.45,78,100,7.7,CI,1617619070
175,shenjiamen,29.9576,122.298,52.47,71,5,11.1,CN,1617619121
176,namatanai,-3.6667,152.4333,80.11,82,100,5.08,PG,1617618899
177,faya,18.3851,42.4509,82.4,13,38,11.5,SA,1617619429
178,saint-philippe,-21.3585,55.7679,87.8,66,20,10.36,RE,1617619075
179,garissa,-0.4536,39.6401,87.91,51,100,6.87,KE,1617619430
180,auki,-8.7676,160.7034,78.73,85,67,1.63,SB,1617619430
181,molina,-35.1167,-71.2833,59.0,77,90,4.61,CL,1617619431
182,oranjestad,12.524,-70.027,79.0,78,20,16.11,AW,1617619161
183,nyurba,63.2842,118.3319,2.07,95,100,2.42,RU,1617619431
184,kollam,8.8833,76.6,89.6,70,20,11.5,IN,1617619431
185,mezhdurechenskiy,59.6,65.9333,33.26,99,100,3.58,RU,1617619432
186,hirtshals,57.5881,9.9592,39.2,48,75,18.41,DK,1617619432
187,marfino,55.7028,37.3822,46.99,45,0,15.66,RU,1617619432
188,vaasa,63.096,21.6158,30.2,100,90,8.05,FI,1617619432
189,elko,41.0002,-115.5012,52.0,38,1,7.36,US,1617619433
190,khatanga,71.9667,102.5,5.85,79,28,12.62,RU,1617618926
191,rabat,33.9911,-6.8401,66.2,72,40,6.91,MA,1617619433
192,sur,22.5667,59.5289,89.74,42,23,7.25,OM,1617619105
193,acapulco,16.8634,-99.8901,74.68,73,15,4.45,MX,1617619434
194,husavik,66.0449,-17.3389,15.8,67,90,11.5,IS,1617619085
195,srednekolymsk,67.45,153.6833,-7.65,98,31,8.48,RU,1617619072
196,anadyr,64.75,177.4833,1.4,66,0,8.95,RU,1617619434
197,trelew,-43.249,-65.3051,58.84,79,53,24.2,AR,1617619435
